"DIM","funcId","budget","best reached","mean reached","worst recorded","worst reached"
279,2301,10000,33513.6,29469.49,-305430.1,22973.24
450,2101,10000,432,408.87,-237,353
450,2102,10000,433,409.21,-236,371
595,2103,10000,546,514.32,-313,449
760,2104,10000,671,621.7,-409,532
1395,2302,10000,416070.97,377427.4,-2178941,302592.42
2790,2303,10000,1299028.44,1233843.13,652619.25,1110265.82
4039,2201,10000,-142,-589.59,-2056,-1124
4039,2202,10000,-122,-585.68,-2058,-1108
4039,2203,10000,-95,-551.14,-2013,-1100
4039,2204,10000,-43,-505.32,-2011,-1047
